ISIN_BC;Biodiversity;EET Data Set Information;Energy efficiency;Environmental;Fossil fuels;Greenhouse gas emissions;Main criterias used for a first screening of ESG related products;MiFID Sustainability Preference Flag;MiFID/IDD Target Market - Manufacturer angle (from a client perspective);Scoping according to SFDR annex template;Social;Social and employee matters;Waste;Water
CH0294813131_393;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.25;1.0;0.0;0.0;0.2;0.0;0.0
CH0294813149_393;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.25;1.0;0.0;0.0;0.2;0.0;0.0
CH0297178714_205;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CH0297178755_205;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CH0297178771_205;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CH0311188863_393;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0
CH0311189556_393;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0
CH0311189580_393;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0
CH0381682621_393;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0
CH0481373295_3233;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CH0481373311_3313;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CH0487357052_512;0.0;0.0;0.0;0.0;0.0;0.09523809523809523;1.0;0.0;1.0;0.0;0.0;0.4;0.0;0.0
CH0487357136_393;0.0;0.0;0.0;0.0;0.0;0.09523809523809523;1.0;0.0;1.0;0.0;0.0;0.4;0.0;0.0
CH0487357144_393;0.0;0.0;0.0;0.0;0.0;0.09523809523809523;1.0;0.0;1.0;0.0;0.0;0.4;0.0;0.0
CH0530164190_511;0.0;0.0;0.0;0.0;0.0;0.09523809523809523;1.0;0.0;1.0;0.0;0.0;0.4;0.0;0.0
CH0531747381_393;0.0;0.0;0.0;0.0;0.0;0.09523809523809523;1.0;0.0;1.0;0.0;0.0;0.4;0.0;0.0
CH0531753587_393;0.0;0.0;0.0;0.0;0.0;0.09523809523809523;1.0;0.0;1.0;0.0;0.0;0.4;0.0;0.0
CH0578494418_393;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.25;1.0;0.0;0.0;0.2;0.0;0.0
CH0578494426_393;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.25;1.0;0.0;0.0;0.2;0.0;0.0
CH0584288531_393;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.25;1.0;0.0;0.0;0.2;0.0;0.0
CH0584288564_393;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.25;1.0;0.0;0.0;0.2;0.0;0.0
CH0584288580_393;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.25;1.0;0.0;0.0;0.2;0.0;0.0
CH1189223345_205;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CH1240611561_512;0.0;0.0;0.0;0.0;0.0;0.09523809523809523;1.0;0.0;1.0;0.0;0.0;0.4;0.0;0.0
CH1240611579_393;0.0;0.0;0.0;0.0;0.0;0.09523809523809523;1.0;0.0;1.0;0.0;0.0;0.4;0.0;0.0
DE0002605037_475;0.0;0.6;0.0;0.0;0.0;0.23809523809523808;1.0;0.25;1.0;0.0;0.0;0.8;0.0;0.0
DE0008471301_2913;0.0;0.8;0.0;0.0;0.0;0.47619047619047616;1.0;0.5;1.0;0.16666666666666666;0.0;0.4;0.0;0.0
DE0008471376_15;1.0;0.4;0.0;1.0;0.0;0.6190476190476191;1.0;0.25;1.0;0.16666666666666666;1.0;0.6;0.0;0.0
DE0008474008_2913;0.0;0.8;0.0;0.0;0.0;0.47619047619047616;1.0;0.5;1.0;0.16666666666666666;0.0;0.4;0.0;0.0
DE0008474024_2913;0.0;0.8;0.0;0.0;0.0;0.47619047619047616;1.0;0.5;1.0;0.16666666666666666;0.0;0.4;0.0;0.0
DE0008474032_2779;0.0;0.8;0.0;0.0;0.0;0.047619047619047616;1.0;0.5;1.0;0.16666666666666666;1.0;0.4;0.0;0.0
DE0008474057_2913;0.0;0.8;0.0;0.0;0.0;0.047619047619047616;1.0;0.5;1.0;0.16666666666666666;0.0;0.4;0.0;0.0
DE0008474065_2779;0.0;0.8;0.0;0.0;0.0;0.047619047619047616;1.0;0.5;1.0;0.16666666666666666;0.0;0.4;0.0;0.0
DE0008474149_2913;0.0;0.8;0.0;0.0;0.0;0.047619047619047616;1.0;0.5;1.0;0.16666666666666666;0.0;0.4;0.0;0.0
DE0008474156_2913;0.0;0.8;0.0;0.0;0.0;0.047619047619047616;1.0;0.5;1.0;0.16666666666666666;0.0;0.4;0.0;0.0
DE0008474198_354;0.0;0.8;0.0;0.0;0.0;0.47619047619047616;1.0;0.5;1.0;0.16666666666666666;0.0;0.4;0.0;0.0
DE0008474214_18;0.0;0.8;0.0;0.0;0.0;0.047619047619047616;1.0;0.5;1.0;0.16666666666666666;0.0;0.4;0.0;0.0
DE0008474230_354;0.0;0.8;0.0;0.0;0.0;0.047619047619047616;1.0;0.5;1.0;0.16666666666666666;0.0;0.4;0.0;0.0
DE0008474248_13;0.0;0.8;0.0;0.0;0.0;0.23809523809523808;1.0;0.25;1.0;0.0;0.0;0.4;0.0;0.0
DE0008474263_2913;0.0;0.8;0.0;0.0;0.0;0.47619047619047616;1.0;0.5;1.0;0.16666666666666666;0.0;0.4;0.0;0.0
DE0008474289_2913;0.0;0.8;0.0;0.0;0.0;0.047619047619047616;1.0;0.5;1.0;0.16666666666666666;0.0;0.4;0.0;0.0
DE0008474297_2779;0.0;0.8;0.0;0.0;0.0;0.047619047619047616;1.0;0.5;1.0;0.16666666666666666;0.0;0.4;0.0;0.0
DE0008476508_13;0.0;0.8;0.0;0.0;0.0;0.047619047619047616;1.0;0.5;1.0;0.16666666666666666;0.0;0.4;0.0;0.0
DE0008476516_2913;0.0;0.8;0.0;0.0;0.0;0.047619047619047616;1.0;0.5;1.0;0.16666666666666666;1.0;0.4;0.0;0.0
DE0008476524_2913;0.0;0.8;0.0;0.0;0.0;0.047619047619047616;1.0;0.5;1.0;0.16666666666666666;0.0;0.4;0.0;0.0
DE0008476532_18;0.0;0.8;0.0;0.0;0.0;0.047619047619047616;1.0;0.5;1.0;0.16666666666666666;0.0;0.4;0.0;0.0
DE0008478058_2913;1.0;0.8;0.0;0.0;0.0;0.7619047619047619;1.0;0.5;1.0;0.3333333333333333;0.0;1.0;0.0;0.0
DE0008478082_18;1.0;0.8;1.0;1.0;1.0;1.0;1.0;0.5;1.0;0.16666666666666666;1.0;1.0;1.0;1.0
DE0008478090_475;1.0;0.8;0.0;0.0;0.0;0.7619047619047619;1.0;0.5;1.0;0.3333333333333333;0.0;1.0;0.0;0.0
DE0008478116_2913;1.0;0.4;0.0;1.0;0.0;1.0;1.0;0.25;1.0;0.0;0.5;1.0;1.0;1.0
DE0008480682_2779;1.0;1.0;0.0;0.0;0.0;0.23809523809523808;1.0;0.25;1.0;0.0;0.0;0.4;0.0;0.0
DE0008483678_2779;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DE0008484502_18;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DE0008484957_2779;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0
DE0008486655_2913;0.0;0.8;0.0;0.0;0.0;0.0;1.0;0.25;1.0;0.0;0.0;0.0;0.0;0.0
DE0008490822_2913;0.0;0.8;0.0;0.0;0.0;0.47619047619047616;1.0;0.5;1.0;0.16666666666666666;0.0;0.4;0.0;1.0
DE0008490848_2779;0.0;0.8;0.0;0.0;0.0;0.047619047619047616;1.0;0.5;1.0;0.16666666666666666;0.0;0.4;0.0;0.0
DE0008490897_13;0.0;0.8;0.0;0.0;0.0;0.047619047619047616;1.0;0.5;1.0;0.16666666666666666;0.0;0.4;0.0;0.0
DE0008490962_2913;0.0;0.8;0.0;0.0;0.0;0.047619047619047616;1.0;0.5;1.0;0.16666666666666666;0.0;0.4;0.0;0.0
DE0008490988_2913;0.0;0.8;0.0;0.0;0.0;0.047619047619047616;1.0;0.5;1.0;0.16666666666666666;0.0;0.4;0.0;0.0
DE0009752253_2913;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.5;1.0;0.6666666666666666;1.0;1.0;1.0;1.0
DE0009752303_13;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.5;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
DE0009766832_14;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DE0009766881_2779;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DE0009766964_19;1.0;1.0;0.0;0.0;0.0;0.23809523809523808;1.0;0.25;1.0;0.0;0.0;0.4;0.0;0.0
DE0009769703_2779;0.0;0.8;0.0;0.0;0.0;0.047619047619047616;1.0;0.5;1.0;0.16666666666666666;1.0;0.4;0.0;0.0
DE0009769729_13;0.0;0.8;0.0;0.0;0.0;0.047619047619047616;1.0;0.5;1.0;0.16666666666666666;0.0;0.4;0.0;0.0
DE0009769760_2913;0.0;0.8;0.0;0.0;0.0;0.47619047619047616;1.0;0.5;1.0;0.16666666666666666;0.0;0.4;0.0;0.0
DE0009769794_2779;0.0;0.8;0.0;0.0;0.0;0.47619047619047616;1.0;0.5;1.0;0.16666666666666666;0.0;0.4;0.0;0.0
DE0009770206_13;1.0;0.8;0.0;0.0;0.0;0.7619047619047619;1.0;0.25;1.0;0.0;0.0;1.0;0.0;0.0
DE0009771964_2779;1.0;1.0;0.0;0.0;0.0;0.23809523809523808;1.0;0.25;1.0;0.3333333333333333;0.0;0.4;0.0;0.0
DE0009773010_2913;0.0;0.8;0.0;0.0;0.0;0.47619047619047616;1.0;0.5;1.0;0.16666666666666666;0.0;0.4;0.0;0.0
DE0009777003_2913;0.0;0.8;0.0;0.0;0.0;0.047619047619047616;1.0;0.25;1.0;0.0;0.0;0.4;0.0;0.0
DE0009780221_2913;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DE0009807008_2913;0.0;0.4;1.0;0.0;1.0;0.0;1.0;0.25;1.0;0.0;1.0;0.4;0.0;0.0
DK0060579423_12;0.0;0.8;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.5;0.0;0.2;0.0;0.0
DK0061671799_12;0.0;0.8;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.5;0.0;0.2;0.0;0.0
ES0107489009_3230;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
ES0107489017_3230;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
ES0107489025_3230;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
ES0107489033_3230;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
ES0107489041_3230;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
ES0107489058_3230;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
ES0111092005_3230;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
ES0111092013_3230;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
ES0111092021_3230;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
ES0111092039_1058;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
ES0111187003_3230;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
ES0111187011_3230;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
ES0111187029_3230;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
ES0111187037_3230;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
ES0111187045_3230;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
ES0111187052_3230;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
ES0116371008_3230;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ES0126536038_3230;0.0;0.8;0.0;0.0;0.0;0.09523809523809523;1.0;0.5;1.0;0.5;0.0;0.2;0.0;0.0
ES0126551037_3230;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ES0126553033_3230;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ES0138168036_3230;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ES0138253036_3230;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ES0138712031_3230;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ES0159201005_3230;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
ES0159201013_3230;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
ES0159201021_3230;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
ES0159259003_3230;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
